iter	F1	CrossEntropy
0	0.8218983292	0.6816173407
1	0.8202406228	0.6717572773
2	0.8120516499	0.6624302795
3	0.8190883191	0.6531335305
4	0.8180515759	0.6438890058
5	0.8218104063	0.6355446904
6	0.8223567106	0.6266565359
7	0.829787234	0.6169718334
8	0.8300142248	0.6085903762
9	0.8355776045	0.5999082043
10	0.8388239462	0.5911305035
11	0.8388239462	0.5827576239
12	0.8375886525	0.5758467638
13	0.8378186969	0.5684021815
14	0.8385269122	0.560412849
15	0.8384124734	0.5533973567
16	0.8404669261	0.5465373853
17	0.8398727466	0.5393443779
18	0.8407329105	0.5327299003
19	0.8411016949	0.5262625523
20	0.8424028269	0.5192767295
21	0.8419195483	0.5126807538
22	0.8433309809	0.5065520651
23	0.8441466855	0.5003757567
24	0.8429226968	0.4956414508
25	0.843220339	0.4905774639
26	0.8440042448	0.4847785654
27	0.8445229682	0.4795118935
28	0.8450106157	0.4753159332
29	0.8459363958	0.4703638717
30	0.8458274399	0.4654524872
31	0.8462354189	0.461071753
32	0.8467514124	0.4567265559
33	0.8469423825	0.4524713437
34	0.8458274399	0.4474504384
35	0.8447117085	0.4442045781
36	0.8446017699	0.4401176145
37	0.8466431095	0.4358188709
38	0.846344048	0.4313774131
39	0.8462354189	0.4269831401
40	0.8476493461	0.4237118302
41	0.8476493461	0.419943345
42	0.8475415635	0.4162582136
43	0.8488700565	0.4121583439
44	0.8488700565	0.4085555149
45	0.8479490806	0.4051014742
46	0.8479490806	0.4019162938
47	0.8468340998	0.3990239228
48	0.8473498233	0.3955547707
49	0.8470505122	0.391996709
50	0.8478644546	0.3889681887
51	0.8479717813	0.385840281
52	0.8482709951	0.3829738794
53	0.8482709951	0.3801966463
54	0.8478644546	0.3773623522
55	0.8475652788	0.3747131553
56	0.8472663139	0.3719453119
57	0.8480789566	0.3690024025
58	0.8487839267	0.3661235887
59	0.8490832158	0.363343343
60	0.849382716	0.3613308572
61	0.8494888967	0.3592853446
62	0.8494888967	0.3577185321
63	0.8497884344	0.3554893286
64	0.8497884344	0.3531840883
65	0.8508988368	0.3509637716
66	0.8511988717	0.3493931669
67	0.8508988368	0.3468748057
68	0.8505990134	0.3447258955
69	0.8510038746	0.3428694861
70	0.8514084507	0.3406635354
71	0.851812742	0.3388767504
72	0.8535211268	0.336579756
73	0.8532206969	0.3346362001
74	0.8536242083	0.3326991928
75	0.8544303797	0.3304557504
76	0.8540274358	0.3294462724
77	0.8540274358	0.3275987213
78	0.8540274358	0.3255434971
79	0.8540274358	0.3237892148
80	0.854730918	0.3221789685
81	0.8551336146	0.3203393952
82	0.8551336146	0.3187174754
83	0.854730918	0.317098319
84	0.854730918	0.3160590038
85	0.8555360281	0.3150749913
86	0.854730918	0.3141867663
87	0.854730918	0.3128021884
88	0.854730918	0.3117390155
89	0.8551336146	0.3104966457
90	0.8555360281	0.3090092593
91	0.8554344003	0.3076913399
92	0.854730918	0.3062952074
93	0.854730918	0.3051233271
94	0.854730918	0.3039369237
95	0.8553326294	0.3025131278
96	0.8557353976	0.3008529183
97	0.8557353976	0.299711517
98	0.8550316678	0.29848215
99	0.8553326294	0.2973295292
100	0.8557353976	0.295929251
101	0.8565400844	0.2947187785
102	0.8558368495	0.2940275242
103	0.8570425009	0.2927458087
104	0.8574438202	0.2914962134
105	0.8578448578	0.290148838
106	0.8574438202	0.2891576002
107	0.8578448578	0.2883653927
108	0.8586460891	0.2871580749
